condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B2a_method12_top100_b0.5,structural_token_ratio,ratio,0.0033583894456080017,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method12_top100_b0.5,mmlu_accuracy,accuracy,0.4,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method12_top100_b0.5,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method3_it_amplified_top100_b0,structural_token_ratio,ratio,0.020278033473789786,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b0,mmlu_accuracy,accuracy,0.5133333333333333,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b0,exp3_reasoning_em,contains_em,0.17,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b5,structural_token_ratio,ratio,0.0,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b5,mmlu_accuracy,accuracy,0.0,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b5,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method12_top100_b1,structural_token_ratio,ratio,1.0214504596527069e-05,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method12_top100_b1,mmlu_accuracy,accuracy,0.0,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method12_top100_b1,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method3_it_amplified_top100_b0.25,structural_token_ratio,ratio,0.027416029514541595,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b0.25,mmlu_accuracy,accuracy,0.5133333333333333,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b0.25,exp3_reasoning_em,contains_em,0.16,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method12_top100_b1.5,structural_token_ratio,ratio,0.0,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method12_top100_b1.5,mmlu_accuracy,accuracy,0.0,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method12_top100_b1.5,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method3_it_amplified_top100_b0.5,structural_token_ratio,ratio,0.0033583894456080017,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b0.5,mmlu_accuracy,accuracy,0.4,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b0.5,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method12_top100_b2,structural_token_ratio,ratio,0.0,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method12_top100_b2,mmlu_accuracy,accuracy,0.0,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method12_top100_b2,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2a_method3_it_amplified_top100_b1,structural_token_ratio,ratio,1.0214504596527069e-05,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b1,mmlu_accuracy,accuracy,0.0,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2a_method3_it_amplified_top100_b1,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2_baseline,format_compliance,compliance,0.3611111111111111,72,B2,none,,,,,,
B2a_method12_top100_b3,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b1.5,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2a_method12_top100_b0,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2a_method12_top100_b5,format_compliance,compliance,0.3472222222222222,72,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b2,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2a_method12_top100_b0.25,format_compliance,compliance,0.375,72,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b3,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2a_method12_top100_b0.5,format_compliance,compliance,0.3194444444444444,72,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b0,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b5,format_compliance,compliance,0.3472222222222222,72,B2,wdec_inject,,,,,,
B2a_method12_top100_b1,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b0.25,format_compliance,compliance,0.375,72,B2,wdec_inject,,,,,,
B2a_method12_top100_b1.5,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b0.5,format_compliance,compliance,0.3194444444444444,72,B2,wdec_inject,,,,,,
B2a_method12_top100_b2,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b1,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2_baseline,exp3_alignment_behavior,behavior_match,0.5,100,B2,none,,,,,,
B2a_method12_top100_b3,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b1.5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method12_top100_b0,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method12_top100_b5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b2,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method12_top100_b0.25,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b3,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method12_top100_b0.5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b0,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method12_top100_b1,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b0.25,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method12_top100_b1.5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b0.5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method12_top100_b2,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b1,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2_baseline,coherent_assistant_rate,rate,0.44228804902962204,979,B2,none,,,,,,
B2a_method12_top100_b3,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b1.5,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2a_method12_top100_b0,coherent_assistant_rate,rate,0.44228804902962204,979,B2,wdec_inject,,,,,,
B2a_method12_top100_b5,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b2,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2a_method12_top100_b0.25,coherent_assistant_rate,rate,0.48008171603677224,979,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b3,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2a_method12_top100_b0.5,coherent_assistant_rate,rate,0.13278855975485188,979,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b0,coherent_assistant_rate,rate,0.44228804902962204,979,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b5,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2a_method12_top100_b1,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b0.25,coherent_assistant_rate,rate,0.48008171603677224,979,B2,wdec_inject,,,,,,
B2a_method12_top100_b1.5,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b0.5,coherent_assistant_rate,rate,0.13278855975485188,979,B2,wdec_inject,,,,,,
B2a_method12_top100_b2,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2a_method3_it_amplified_top100_b1,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
