mode,pool,side,category,token,count,fraction_of_side_category
native,dense5,pt,FORMAT, **,2,0.0010346611484738748
native,dense5,pt,FORMAT, ```,2,0.0010346611484738748
native,dense5,pt,FORMAT,\n\n\n,2,0.0010346611484738748
native,dense5,pt,FORMAT, <<,1,0.0005173305742369374
native,dense5,pt,FORMAT, *,1,0.0005173305742369374
native,dense5,pt,FORMAT, .\n,1,0.0005173305742369374
native,dense5,pt,FUNCTION_OTHER, The,136,0.38309859154929576
native,dense5,pt,FUNCTION_OTHER, A,74,0.2084507042253521
native,dense5,pt,FUNCTION_OTHER, He,25,0.07042253521126761
native,dense5,pt,FUNCTION_OTHER, You,18,0.05070422535211268
native,dense5,pt,FUNCTION_OTHER, If,12,0.03380281690140845
native,dense5,pt,FUNCTION_OTHER,A,12,0.03380281690140845
native,dense5,pt,FUNCTION_OTHER, and,11,0.030985915492957747
native,dense5,pt,FUNCTION_OTHER, I,10,0.028169014084507043
native,dense5,pt,FUNCTION_OTHER, Do,9,0.02535211267605634
native,dense5,pt,FUNCTION_OTHER, In,7,0.01971830985915493
native,dense5,pt,FUNCTION_OTHER, On,6,0.016901408450704224
native,dense5,pt,FUNCTION_OTHER, To,5,0.014084507042253521
native,dense5,pt,FUNCTION_OTHER, There,4,0.011267605633802818
native,dense5,pt,FUNCTION_OTHER,and,4,0.011267605633802818
native,dense5,pt,FUNCTION_OTHER,The,4,0.011267605633802818
native,dense5,pt,FUNCTION_OTHER, Each,3,0.008450704225352112
native,dense5,pt,FUNCTION_OTHER, After,2,0.005633802816901409
native,dense5,pt,FUNCTION_OTHER, They,2,0.005633802816901409
native,dense5,pt,FUNCTION_OTHER, She,2,0.005633802816901409
native,dense5,pt,FUNCTION_OTHER, �,2,0.005633802816901409
native,dense5,it,CONTENT,Let,293,0.29536290322580644
native,dense5,it,CONTENT,Answer,161,0.1622983870967742
native,dense5,it,CONTENT,(C,41,0.04133064516129032
native,dense5,it,CONTENT,Okay,36,0.036290322580645164
native,dense5,it,CONTENT,(D,35,0.03528225806451613
native,dense5,it,CONTENT,Title,27,0.02721774193548387
native,dense5,it,CONTENT,</s>,25,0.025201612903225805
native,dense5,it,CONTENT,C,22,0.02217741935483871
native,dense5,it,CONTENT,(B,19,0.019153225806451613
native,dense5,it,CONTENT,D,18,0.018145161290322582
native,dense5,it,CONTENT,Write,18,0.018145161290322582
native,dense5,it,CONTENT,B,12,0.012096774193548387
native,dense5,it,CONTENT,Subject,6,0.006048387096774193
native,dense5,it,CONTENT,Ex,6,0.006048387096774193
native,dense5,it,CONTENT,L,5,0.005040322580645161
native,dense5,it,CONTENT,PAR,5,0.005040322580645161
native,dense5,it,CONTENT,DE,5,0.005040322580645161
native,dense5,it,CONTENT,Based,5,0.005040322580645161
native,dense5,it,CONTENT,Since,5,0.005040322580645161
native,dense5,it,CONTENT,When,4,0.004032258064516129
native,dense5,it,FORMAT,First,83,0.24776119402985075
native,dense5,it,FORMAT,(,69,0.20597014925373133
native,dense5,it,FORMAT,**,54,0.16119402985074627
native,dense5,it,FORMAT,"""",33,0.09850746268656717
native,dense5,it,FORMAT,<<,22,0.06567164179104477
native,dense5,it,FORMAT,```,18,0.05373134328358209
native,dense5,it,FORMAT,*,17,0.050746268656716415
native,dense5,it,FORMAT,,9,0.026865671641791045
native,dense5,it,FORMAT,{\n,5,0.014925373134328358
native,dense5,it,FORMAT,[,5,0.014925373134328358
native,dense5,it,FORMAT,{,4,0.011940298507462687
native,dense5,it,FORMAT,##,3,0.008955223880597015
native,dense5,it,FORMAT,"{""",3,0.008955223880597015
native,dense5,it,FORMAT,#,2,0.005970149253731343
native,dense5,it,FORMAT,.,2,0.005970149253731343
native,dense5,it,FORMAT,``,1,0.0029850746268656717
native,dense5,it,FORMAT,***\n\n,1,0.0029850746268656717
native,dense5,it,FORMAT,<!,1,0.0029850746268656717
native,dense5,it,FORMAT,',1,0.0029850746268656717
native,dense5,it,FORMAT,However,1,0.0029850746268656717
raw_shared,dense5,pt,CONTENT,<|end_of_text|>,130,0.0970873786407767
raw_shared,dense5,pt,CONTENT, C,112,0.08364451082897685
raw_shared,dense5,pt,CONTENT,C,106,0.07916355489171023
raw_shared,dense5,pt,CONTENT, D,103,0.07692307692307693
raw_shared,dense5,pt,CONTENT,Question,100,0.07468259895444361
raw_shared,dense5,pt,CONTENT,D,83,0.0619865571321882
raw_shared,dense5,pt,CONTENT,B,71,0.05302464525765497
raw_shared,dense5,pt,CONTENT, B,67,0.05003734129947722
raw_shared,dense5,pt,CONTENT,1,47,0.0351008215085885
raw_shared,dense5,pt,CONTENT,<|endoftext|>,45,0.033607169529499624
raw_shared,dense5,pt,CONTENT,Write,32,0.02389843166542196
raw_shared,dense5,pt,CONTENT, Step,29,0.021657953696788648
raw_shared,dense5,pt,CONTENT,2,21,0.01568334578043316
raw_shared,dense5,pt,CONTENT,0,19,0.014189693801344288
raw_shared,dense5,pt,CONTENT,</s>,15,0.011202389843166542
raw_shared,dense5,pt,CONTENT,5,14,0.010455563853622106
raw_shared,dense5,pt,CONTENT,4,12,0.008961911874533234
raw_shared,dense5,pt,CONTENT,<eos>,12,0.008961911874533234
raw_shared,dense5,pt,CONTENT,Explanation,11,0.008215085884988798
raw_shared,dense5,pt,CONTENT, x,11,0.008215085884988798
raw_shared,dense5,it,FORMAT, (,286,0.22990353697749197
raw_shared,dense5,it,FORMAT,\n,254,0.20418006430868169
raw_shared,dense5,it,FORMAT, \,77,0.06189710610932476
raw_shared,dense5,it,FORMAT, \n\n,70,0.05627009646302251
raw_shared,dense5,it,FORMAT, ,70,0.05627009646302251
raw_shared,dense5,it,FORMAT,(,66,0.05305466237942122
raw_shared,dense5,it,FORMAT,),65,0.0522508038585209
raw_shared,dense5,it,FORMAT,\n\n,55,0.04421221864951769
raw_shared,dense5,it,FORMAT,)\n\n,34,0.027331189710610933
raw_shared,dense5,it,FORMAT, \n,32,0.02572347266881029
raw_shared,dense5,it,FORMAT, ##,26,0.02090032154340836
raw_shared,dense5,it,FORMAT, First,25,0.02009646302250804
raw_shared,dense5,it,FORMAT,)\n,18,0.014469453376205787
raw_shared,dense5,it,FORMAT,.,13,0.01045016077170418
raw_shared,dense5,it,FORMAT,**,13,0.01045016077170418
raw_shared,dense5,it,FORMAT," """,11,0.008842443729903537
raw_shared,dense5,it,FORMAT,"""",11,0.008842443729903537
raw_shared,dense5,it,FORMAT, $,9,0.007234726688102894
raw_shared,dense5,it,FORMAT, \n,9,0.007234726688102894
raw_shared,dense5,it,FORMAT,.\n\n,8,0.006430868167202572
raw_shared,dense5,pt,FORMAT, ,366,0.3125533731853117
raw_shared,dense5,pt,FORMAT,\n,201,0.17164816396242527
raw_shared,dense5,pt,FORMAT, (,171,0.14602903501280956
raw_shared,dense5,pt,FORMAT,,79,0.06746370623398805
raw_shared,dense5,pt,FORMAT, $,71,0.06063193851409052
raw_shared,dense5,pt,FORMAT,)\n,62,0.05294619982920581
raw_shared,dense5,pt,FORMAT,),41,0.035012809564474806
raw_shared,dense5,pt,FORMAT,$,39,0.033304867634500426
raw_shared,dense5,pt,FORMAT,\n\n,29,0.024765157984628524
raw_shared,dense5,pt,FORMAT,##,20,0.017079419299743808
raw_shared,dense5,pt,FORMAT,)\n\n,15,0.012809564474807857
raw_shared,dense5,pt,FORMAT,.,10,0.008539709649871904
raw_shared,dense5,pt,FORMAT,(,8,0.006831767719897523
raw_shared,dense5,pt,FORMAT,.\n,5,0.004269854824935952
raw_shared,dense5,pt,FORMAT,  ,5,0.004269854824935952
raw_shared,dense5,pt,FORMAT, First,4,0.0034158838599487617
raw_shared,dense5,pt,FORMAT,*,4,0.0034158838599487617
raw_shared,dense5,pt,FORMAT,###,4,0.0034158838599487617
raw_shared,dense5,pt,FORMAT,#,4,0.0034158838599487617
raw_shared,dense5,pt,FORMAT, +,3,0.0025619128949615714
raw_shared,dense5,it,CONTENT, Let,176,0.14343928280358598
raw_shared,dense5,it,CONTENT,B,71,0.05786471067644662
raw_shared,dense5,it,CONTENT,D,56,0.045639771801140996
raw_shared,dense5,it,CONTENT,Explanation,50,0.040749796251018745
raw_shared,dense5,it,CONTENT,C,49,0.03993480032599837
raw_shared,dense5,it,CONTENT, Step,37,0.03015484922575387
raw_shared,dense5,it,CONTENT,Ex,37,0.03015484922575387
raw_shared,dense5,it,CONTENT,3,32,0.026079869600651995
raw_shared,dense5,it,CONTENT,<|endoftext|>,29,0.023634881825590873
raw_shared,dense5,it,CONTENT, Also,28,0.022819885900570498
raw_shared,dense5,it,CONTENT, B,21,0.017114914425427872
raw_shared,dense5,it,CONTENT,</s>,21,0.017114914425427872
raw_shared,dense5,it,CONTENT,2,19,0.015484922575387123
raw_shared,dense5,it,CONTENT,6,19,0.015484922575387123
raw_shared,dense5,it,CONTENT,4,17,0.013854930725346373
raw_shared,dense5,it,CONTENT, D,14,0.011409942950285249
raw_shared,dense5,it,CONTENT, Wrong,14,0.011409942950285249
raw_shared,dense5,it,CONTENT,1,14,0.011409942950285249
raw_shared,dense5,it,CONTENT, C,12,0.009779951100244499
raw_shared,dense5,it,CONTENT,8,11,0.008964955175224124
raw_shared,dense5,it,FUNCTION_OTHER,A,98,0.19140625
raw_shared,dense5,it,FUNCTION_OTHER, The,89,0.173828125
raw_shared,dense5,it,FUNCTION_OTHER,The,49,0.095703125
raw_shared,dense5,it,FUNCTION_OTHER, A,32,0.0625
raw_shared,dense5,it,FUNCTION_OTHER, To,19,0.037109375
raw_shared,dense5,it,FUNCTION_OTHER, Each,17,0.033203125
raw_shared,dense5,it,FUNCTION_OTHER, the,13,0.025390625
raw_shared,dense5,it,FUNCTION_OTHER,In,12,0.0234375
raw_shared,dense5,it,FUNCTION_OTHER, There,11,0.021484375
raw_shared,dense5,it,FUNCTION_OTHER,Here,11,0.021484375
raw_shared,dense5,it,FUNCTION_OTHER,To,10,0.01953125
raw_shared,dense5,it,FUNCTION_OTHER,the,10,0.01953125
raw_shared,dense5,it,FUNCTION_OTHER, Here,9,0.017578125
raw_shared,dense5,it,FUNCTION_OTHER, in,6,0.01171875
raw_shared,dense5,it,FUNCTION_OTHER, He,6,0.01171875
raw_shared,dense5,it,FUNCTION_OTHER, is,5,0.009765625
raw_shared,dense5,it,FUNCTION_OTHER, On,5,0.009765625
raw_shared,dense5,it,FUNCTION_OTHER,a,5,0.009765625
raw_shared,dense5,it,FUNCTION_OTHER,There,5,0.009765625
raw_shared,dense5,it,FUNCTION_OTHER, that,4,0.0078125
raw_shared,dense5,pt,FUNCTION_OTHER, The,118,0.24947145877378435
raw_shared,dense5,pt,FUNCTION_OTHER, A,67,0.1416490486257928
raw_shared,dense5,pt,FUNCTION_OTHER,A,50,0.10570824524312897
raw_shared,dense5,pt,FUNCTION_OTHER,The,42,0.08879492600422834
raw_shared,dense5,pt,FUNCTION_OTHER,I,36,0.07610993657505286
raw_shared,dense5,pt,FUNCTION_OTHER, He,22,0.046511627906976744
raw_shared,dense5,pt,FUNCTION_OTHER, You,17,0.035940803382663845
raw_shared,dense5,pt,FUNCTION_OTHER, and,12,0.02536997885835095
raw_shared,dense5,pt,FUNCTION_OTHER, If,10,0.021141649048625793
raw_shared,dense5,pt,FUNCTION_OTHER, Do,9,0.019027484143763214
raw_shared,dense5,pt,FUNCTION_OTHER, I,9,0.019027484143763214
raw_shared,dense5,pt,FUNCTION_OTHER, In,7,0.014799154334038054
raw_shared,dense5,pt,FUNCTION_OTHER, To,5,0.010570824524312896
raw_shared,dense5,pt,FUNCTION_OTHER, On,5,0.010570824524312896
raw_shared,dense5,pt,FUNCTION_OTHER, of,4,0.008456659619450317
raw_shared,dense5,pt,FUNCTION_OTHER, a,4,0.008456659619450317
raw_shared,dense5,pt,FUNCTION_OTHER,and,4,0.008456659619450317
raw_shared,dense5,pt,FUNCTION_OTHER, Each,3,0.006342494714587738
raw_shared,dense5,pt,FUNCTION_OTHER, Your,3,0.006342494714587738
raw_shared,dense5,pt,FUNCTION_OTHER, not,2,0.004228329809725159
